województwo,powiat,gmina,typ gminy,TERYT
mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011
mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022
mazowieckie,ciechanowski,Gołymin-Ośrodek,gmina wiejska,1402042
mazowieckie,ciechanowski,Grudusk,gmina wiejska,1402052
mazowieckie,ciechanowski,Ojrzeń,gmina wiejska,1402062
mazowieckie,ciechanowski,Opinogóra Górna,gmina wiejska,1402072
mazowieckie,ciechanowski,Regimin,gmina wiejska,1402082
mazowieckie,ciechanowski,Sońsk,gmina wiejska,1402092
mazowieckie,m. Ostrołęka,Ostrołęka,gmina miejska (miasto na prawach powiatu),1461011
mazowieckie,m. Siedlce,Siedlce,gmina miejska (miasto na prawach powiatu),1464011
mazowieckie,makowski,Czerwonka,gmina wiejska,1411022
mazowieckie,makowski,Karniewo,gmina wiejska,1411032
mazowieckie,makowski,Krasnosielc,gmina wiejska,1411042
mazowieckie,makowski,Maków Mazowiecki,gmina miejska,1411011
mazowieckie,makowski,Młynarze,gmina wiejska,1411052
mazowieckie,makowski,Płoniawy-Bramura,gmina wiejska,1411062
mazowieckie,makowski,Rzewnie,gmina wiejska,1411082
mazowieckie,makowski,Różan,gmina miejsko-wiejska,1411073
mazowieckie,makowski,Sypniewo,gmina wiejska,1411092
mazowieckie,makowski,Szelków,gmina wiejska,1411102
mazowieckie,mławski,Dzierzgowo,gmina wiejska,1413022
mazowieckie,mławski,Mława,gmina miejska,1413011
mazowieckie,mławski,Strzegowo,gmina wiejska,1413052
mazowieckie,mławski,Stupsk,gmina wiejska,1413062
mazowieckie,mławski,Szydłowo,gmina wiejska,1413082
mazowieckie,mławski,Wieczfnia Kościelna,gmina wiejska,1413092
mazowieckie,mławski,Wiśniewo,gmina wiejska,1413102
mazowieckie,ostrowski,Andrzejewo,gmina wiejska,1416022
mazowieckie,ostrowski,Boguty-Pianki,gmina wiejska,1416032
mazowieckie,ostrowski,Brok,gmina miejsko-wiejska,1416043
mazowieckie,ostrowski,Małkinia Górna,gmina miejsko-wiejska,1416053
mazowieckie,ostrowski,Nur,gmina wiejska,1416062
mazowieckie,ostrowski,Ostrów Mazowiecka,gmina miejska,1416011
mazowieckie,ostrowski,Ostrów Mazowiecka,gmina wiejska,1416072
mazowieckie,ostrowski,Stary Lubotyń,gmina wiejska,1416082
mazowieckie,ostrowski,Szulborze Wielkie,gmina wiejska,1416092
mazowieckie,ostrowski,Wąsewo,gmina wiejska,1416102
mazowieckie,ostrowski,Zaręby Kościelne,gmina wiejska,1416112
mazowieckie,ostrołęcki,Baranowo,gmina wiejska,1415012
mazowieckie,ostrołęcki,Czarnia,gmina wiejska,1415022
mazowieckie,ostrołęcki,Czerwin,gmina wiejska,1415032
mazowieckie,ostrołęcki,Goworowo,gmina wiejska,1415042
mazowieckie,ostrołęcki,Kadzidło,gmina wiejska,1415052
mazowieckie,ostrołęcki,Lelis,gmina wiejska,1415062
mazowieckie,ostrołęcki,Myszyniec,gmina miejsko-wiejska,1415083
mazowieckie,ostrołęcki,Olszewo-Borki,gmina wiejska,1415092
