row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu
1,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2018,OK,,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-Gminy-,6374.pdf",dostęp_bezpośredni,9827cb2bd369b31ed6d46887e316975d08c48717622be29a38615b1e8cc22554,200
2,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2019,OK,,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-Miasta-za-2019,8945.pdf",dostęp_bezpośredni,1f6c2e7ba7422d50933b7ffcab6edb7ae91dd3e4267c9cfd0174594fe8969288,200
3,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2020,OK,,tekst,"https://bip.umciechanow.pl/pliki/raport-o-stanie-miasta-za-2020,9327.pdf",dostęp_bezpośredni,e9f4a14fada4fe7da1b73b256076bf4140d3fe2e150fc19bcc61f46154ea16a3,200
4,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2021,OK,,tekst,"https://bip.umciechanow.pl/pliki/raport-miasto-2021,10589.pdf",dostęp_bezpośredni,1eeeb85e46332656b87e68f13bfdc3aa0e209bf5f507413140c0df209645f92a,200
5,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2022,OK,,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-miasta-za-2022-rok,12115.pdf",dostęp_bezpośredni,7218fd535dacc817c9876b73be6ed938a3d9a3fee1c99fe4661ad49f34e69a45,200
6,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2023,OK,,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-miasta-za-2023-rok---25.04.2024-r,13520.pdf",dostęp_bezpośredni,92022a8d8ed690e6592cbc5494a2f7cdbb98955fa9f7b7dbd9d1334b3261cf19,200
7,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2024,OK,,tekst,"https://bip.umciechanow.pl/pliki/Raport-za-2024-11.04.2024-,14684.pdf",dostęp_bezpośredni,6b120d662de0d97800e46601b63600c358a10cb96cefe4df34561d2f8bcb9891,200
8,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2025,BRAK,,brak,,,,BRAK_URL (niepowstały)
9,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2018,OK,,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/4282/raport_o_stanie_gminy_ciechanow_za_2018_rok.pdf,dostęp_bezpośredni,bed622b1fc6614d4672c2f5d0e95977f7beb12822aa528f3b3a99b83bb1fa05e,200
10,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2019,OK,,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/911/raport_o_stanie_gminy_ciechanow_za_2019_rok.pdf,dostęp_bezpośredni,560f97bf84c0bfda81e2267b6acc56608c6d5d87917d405a8789556aa300de80,200
11,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2020,BRAK,,brak,brak,dowód: roczne raporty Gminy Ciechanów na gminaciechanow.pl (znalezione 2018-2024),,BRAK_URL (dowód istnienia)
12,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2021,OK,,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/1556/raport_o_stanie_gminy_ciechanow_za_2021_rok_.pdf,dostęp_bezpośredni,196ae58dd60d6ef81ab8e53e40ac8cc43a8d5489eb37ea93d2496f7a3d57f187,200
13,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2022,OK,,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/1884/raport_o_stanie_gminy_ciechanow_za_2022_rok.pdf,dostęp_bezpośredni,3ff49414e50d6f39931b44d508c045db343c0da617ac987d135b49af1729f113,200
14,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2023,OK,,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/9653/fec46fd83c2d74495058b6584c1c52fe.pdf,dostęp_bezpośredni,6e09f0e6a599204d2419d472f624d3491a9fbcd643c8f367565e4922e7bc94e5,200
15,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2024,OK,,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/10625/1dfc116ee095fb8d8f88901d39793798.pdf,dostęp_bezpośredni,a14bef5fd9372f0f5532b81130f6dc00646bb473876d0f9a15f93c44fcb837df,200
16,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2025,BRAK,,brak,brak,dowód: roczne raporty Gminy Ciechanów na gminaciechanow.pl (znalezione 2018-2024),,BRAK_URL (dowód istnienia)
17,mazowieckie,ciechanowski,Gołymin-Ośrodek,gmina wiejska,1402042,2018,BRAK,,brak,brak,dogłębne sprawdzenie (web search + BIP + Wayback) - brak dowodu istnienia,,BRAK_URL (niepowstały)
18,mazowieckie,ciechanowski,Gołymin-Ośrodek,gmina wiejska,1402042,2019,BRAK,,brak,brak,dogłębne sprawdzenie (web search + BIP + Wayback) - brak dowodu istnienia,,BRAK_URL (niepowstały)
