row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
2489,dolnośląskie,-,-,-,02,2018,nowy,,,,,,,,,,
2490,dolnośląskie,-,-,-,02,2019,nowy,,,,,,,,,,
2491,dolnośląskie,-,-,-,02,2020,nowy,,,,,,,,,,
2492,dolnośląskie,-,-,-,02,2021,nowy,,,,,,,,,,
2493,dolnośląskie,-,-,-,02,2022,nowy,,,,,,,,,,
2494,dolnośląskie,-,-,-,02,2023,nowy,,,,,,,,,,
2495,dolnośląskie,-,-,-,02,2024,nowy,,,,,,,,,,
2496,dolnośląskie,-,-,-,02,2025,nowy,,,,,,,,,,
2497,dolnośląskie,bolesławiecki,-,-,0201,2018,nowy,,,,,,,,,,
2498,dolnośląskie,bolesławiecki,-,-,0201,2019,nowy,,,,,,,,,,
2499,dolnośląskie,bolesławiecki,-,-,0201,2020,nowy,,,,,,,,,,
2500,dolnośląskie,bolesławiecki,-,-,0201,2021,nowy,,,,,,,,,,
2501,dolnośląskie,bolesławiecki,-,-,0201,2022,nowy,,,,,,,,,,
2502,dolnośląskie,bolesławiecki,-,-,0201,2023,nowy,,,,,,,,,,
2503,dolnośląskie,bolesławiecki,-,-,0201,2024,nowy,,,,,,,,,,
2504,dolnośląskie,bolesławiecki,-,-,0201,2025,nowy,,,,,,,,,,
2505,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2018,nowy,,,,,,,,,,
2506,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2019,nowy,,,,,,,,,,
2507,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2020,nowy,,,,,,,,,,
2508,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2021,nowy,,,,,,,,,,
2509,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2022,nowy,,,,,,,,,,
2510,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2023,nowy,,,,,,,,,,
2511,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2024,nowy,,,,,,,,,,
2512,dolnośląskie,bolesławiecki,Bolesławiec,gmina miejska,0201011,2025,nowy,,,,,,,,,,
2513,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2018,nowy,,,,,,,,,,
2514,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2019,nowy,,,,,,,,,,
2515,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2020,nowy,,,,,,,,,,
2516,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2021,nowy,,,,,,,,,,
2517,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2022,nowy,,,,,,,,,,
2518,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2023,nowy,,,,,,,,,,
2519,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2024,nowy,,,,,,,,,,
2520,dolnośląskie,bolesławiecki,Bolesławiec,gmina wiejska,0201022,2025,nowy,,,,,,,,,,
2521,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2018,nowy,,,,,,,,,,
2522,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2019,nowy,,,,,,,,,,
2523,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2020,nowy,,,,,,,,,,
2524,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2021,nowy,,,,,,,,,,
2525,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2022,nowy,,,,,,,,,,
2526,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2023,nowy,,,,,,,,,,
2527,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2024,nowy,,,,,,,,,,
2528,dolnośląskie,bolesławiecki,Gromadka,gmina wiejska,0201032,2025,nowy,,,,,,,,,,
2529,dolnośląskie,bolesławiecki,Nowogrodziec,gmina miejsko-wiejska,0201043,2018,nowy,,,,,,,,,,
2530,dolnośląskie,bolesławiecki,Nowogrodziec,gmina miejsko-wiejska,0201043,2019,nowy,,,,,,,,,,
2531,dolnośląskie,bolesławiecki,Nowogrodziec,gmina miejsko-wiejska,0201043,2020,nowy,,,,,,,,,,
2532,dolnośląskie,bolesławiecki,Nowogrodziec,gmina miejsko-wiejska,0201043,2021,nowy,,,,,,,,,,
2533,dolnośląskie,bolesławiecki,Nowogrodziec,gmina miejsko-wiejska,0201043,2022,nowy,,,,,,,,,,
