row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
4089,kujawsko-pomorskie,-,-,-,04,2018,nowy,,,,,,,,,,
4090,kujawsko-pomorskie,-,-,-,04,2019,nowy,,,,,,,,,,
4091,kujawsko-pomorskie,-,-,-,04,2020,nowy,,,,,,,,,,
4092,kujawsko-pomorskie,-,-,-,04,2021,nowy,,,,,,,,,,
4093,kujawsko-pomorskie,-,-,-,04,2022,nowy,,,,,,,,,,
4094,kujawsko-pomorskie,-,-,-,04,2023,nowy,,,,,,,,,,
4095,kujawsko-pomorskie,-,-,-,04,2024,nowy,,,,,,,,,,
4096,kujawsko-pomorskie,-,-,-,04,2025,nowy,,,,,,,,,,
4097,kujawsko-pomorskie,aleksandrowski,-,-,0401,2018,nowy,,,,,,,,,,
4098,kujawsko-pomorskie,aleksandrowski,-,-,0401,2019,nowy,,,,,,,,,,
4099,kujawsko-pomorskie,aleksandrowski,-,-,0401,2020,nowy,,,,,,,,,,
4100,kujawsko-pomorskie,aleksandrowski,-,-,0401,2021,nowy,,,,,,,,,,
4101,kujawsko-pomorskie,aleksandrowski,-,-,0401,2022,nowy,,,,,,,,,,
4102,kujawsko-pomorskie,aleksandrowski,-,-,0401,2023,nowy,,,,,,,,,,
4103,kujawsko-pomorskie,aleksandrowski,-,-,0401,2024,nowy,,,,,,,,,,
4104,kujawsko-pomorskie,aleksandrowski,-,-,0401,2025,nowy,,,,,,,,,,
4105,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2018,nowy,,,,,,,,,,
4106,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2019,nowy,,,,,,,,,,
4107,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2020,nowy,,,,,,,,,,
4108,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2021,nowy,,,,,,,,,,
4109,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2022,nowy,,,,,,,,,,
4110,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2023,nowy,,,,,,,,,,
4111,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2024,nowy,,,,,,,,,,
4112,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina miejska,0401011,2025,nowy,,,,,,,,,,
4113,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2018,nowy,,,,,,,,,,
4114,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2019,nowy,,,,,,,,,,
4115,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2020,nowy,,,,,,,,,,
4116,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2021,nowy,,,,,,,,,,
4117,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2022,nowy,,,,,,,,,,
4118,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2023,nowy,,,,,,,,,,
4119,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2024,nowy,,,,,,,,,,
4120,kujawsko-pomorskie,aleksandrowski,Ciechocinek,gmina miejska,0401021,2025,nowy,,,,,,,,,,
4121,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2018,nowy,,,,,,,,,,
4122,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2019,nowy,,,,,,,,,,
4123,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2020,nowy,,,,,,,,,,
4124,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2021,nowy,,,,,,,,,,
4125,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2022,nowy,,,,,,,,,,
4126,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2023,nowy,,,,,,,,,,
4127,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2024,nowy,,,,,,,,,,
4128,kujawsko-pomorskie,aleksandrowski,Nieszawa,gmina miejska,0401031,2025,nowy,,,,,,,,,,
4129,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2018,nowy,,,,,,,,,,
4130,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2019,nowy,,,,,,,,,,
4131,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2020,nowy,,,,,,,,,,
4132,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2021,nowy,,,,,,,,,,
4133,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2022,nowy,,,,,,,,,,
4134,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2023,nowy,,,,,,,,,,
4135,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2024,nowy,,,,,,,,,,
4136,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,gmina wiejska,0401042,2025,nowy,,,,,,,,,,
4137,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2018,nowy,,,,,,,,,,
4138,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2019,nowy,,,,,,,,,,
4139,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2020,nowy,,,,,,,,,,
4140,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2021,nowy,,,,,,,,,,
4141,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2022,nowy,,,,,,,,,,
4142,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2023,nowy,,,,,,,,,,
4143,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2024,nowy,,,,,,,,,,
4144,kujawsko-pomorskie,aleksandrowski,Bądkowo,gmina wiejska,0401052,2025,nowy,,,,,,,,,,
4145,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2018,nowy,,,,,,,,,,
4146,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2019,nowy,,,,,,,,,,
4147,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2020,nowy,,,,,,,,,,
4148,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2021,nowy,,,,,,,,,,
4149,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2022,nowy,,,,,,,,,,
4150,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2023,nowy,,,,,,,,,,
4151,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2024,nowy,,,,,,,,,,
4152,kujawsko-pomorskie,aleksandrowski,Koneck,gmina wiejska,0401062,2025,nowy,,,,,,,,,,
4153,kujawsko-pomorskie,aleksandrowski,Raciążek,gmina wiejska,0401072,2018,nowy,,,,,,,,,,
4154,kujawsko-pomorskie,aleksandrowski,Raciążek,gmina wiejska,0401072,2019,nowy,,,,,,,,,,
