row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
5433,lubelskie,-,-,-,06,2018,ok_finalnie,pdf,tekst (215 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2018.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",cebed1356c9574600cebb60a5b39f0c5d578104e3c6d6f6b9b038601de908629,200,2026-09-14T09:41:38Z,"Raport o stanie Województwa Lubelskiego za 2018 rok („Podsumowanie działalności Zarządu WL w 2018 roku”); art. 34a u.s.w.; Zarząd Województwa Lubelskiego, Lublin; 215 str.",5.748,true
5434,lubelskie,-,-,-,06,2019,ok_finalnie,pdf,tekst (161 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2019.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",1c307cfdb692347b8dec05416e6c4c847a9317412ac66bb2425760cf0b9863d2,200,2026-09-14T09:41:38Z,"Raport o stanie Województwa Lubelskiego za 2019 rok (okładka: „Lublin, maj 2020”; treść: „w 2019 roku” ×22); art. 34a u.s.w.; 161 str.",2.593,true
5435,lubelskie,-,-,-,06,2020,ok_finalnie,pdf,tekst (184 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2020.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",6ef4c4ebb3b8779fa4e920e9724b567cae844a1779f5f09c011986e1f210c5f3,200,2026-09-14T09:41:38Z,Raport o stanie Województwa Lubelskiego za 2020 rok; art. 34a u.s.w.; 184 str.,3.041,true
5436,lubelskie,-,-,-,06,2021,ok_finalnie,pdf,tekst (217 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2021.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",0afd902f378fc820bca4985d2f56a5ffc8117773f29716815ea0095e7feef24f,200,2026-09-14T09:41:38Z,Raport o stanie Województwa Lubelskiego za 2021 rok (okładka „ZA 2021 ROK”); art. 34a u.s.w.; 217 str.,5.524,true
5437,lubelskie,-,-,-,06,2022,ok_finalnie,pdf,tekst (278 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2022.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",99baded190ad744f2ec7e8a60686918899e94df99e571733f593cac4a7736565,200,2026-09-14T09:41:38Z,Raport o stanie Województwa Lubelskiego za 2022 rok; art. 34a u.s.w.; 278 str.,13.531,true
5438,lubelskie,-,-,-,06,2023,ok_finalnie,pdf,tekst (231 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2023.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",a62ead4a28d154724d246d3a76d818429b6e03238d29a7bebcdbfd5ffc851065,200,2026-09-14T09:41:38Z,Raport o stanie Województwa Lubelskiego za 2023 rok (uchwała ZWL V/55/2024 z 21.05.2024); art. 34a u.s.w.; 231 str.,9.234,true
5439,lubelskie,-,-,-,06,2024,ok_finalnie,pdf,tekst (239 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2024.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",46fa4e7fc215db1e7ab819da30fba376cc1df9f6f07b8b7c50519391ed40c111,200,2026-09-14T09:41:38Z,Raport o stanie Województwa Lubelskiego za 2024 rok (siódma edycja; uchwała ZWL CXXVII/2298/2025 z 23.05.2025); art. 34a u.s.w.; 239 str.,9.39,true
5440,lubelskie,-,-,-,06,2025,ok_finalnie,pdf,tekst (263 stron),https://strategia.lubelskie.pl/rot/raport/raport.stan/raport.stan.2025.pdf,"direct_without_tor (web search → strategia.lubelskie.pl/rot/raport/raport.stan/, wzorzec rocznikowy zweryfikowany treścią)",ab087321f1a1da5acd7b9a89a30a702aca7ccb9cd480272f282fc8e3140b7b0e,200,2026-09-14T09:41:38Z,Raport o stanie Województwa Lubelskiego za 2025 rok; art. 34a u.s.w.; 263 str.,12.855,true
5441,lubelskie,bialski,-,-,0601,2018,ok_finalnie,pdf,tekst (205 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/Raport_o_stanie_powiatu_bialskiego_za_2018.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2018 ROK"")",dfbcee1daa70f13012290abcc2eb5dd1d88889f2002680325e5a6bd435298d34,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2018 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; plik samodzielny; przyjęty uchwałą ZP nr 93/2019 (doc 1391690); 205 str.,3.765,true
5442,lubelskie,bialski,-,-,0601,2019,ok_finalnie,pdf,tekst (217 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/zal_nr_1_uchw_zarz_259_2020_-_Raport_o_stanie_powiatu_za_2019_rok.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2019 ROK"")",aadcdc2745a52c60106740c6373f3e3547097d3a95842cfd64958fd490934b67,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2019 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; zał. nr 1 do uchwały ZP nr 259/2020; 217 str.,3.817,true
5443,lubelskie,bialski,-,-,0601,2020,ok_finalnie,pdf,tekst (276 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/zalacznik_405_2021_Raport_o_stanie_powiatu_za_2020_.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2020 ROK"")",e95d7e084324a1ba36290176b169a914cae4b8c31e346478da85256e7c130e99,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2020 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; załącznik do uchwały ZP nr 405/2021; 276 str.,3.95,true
5444,lubelskie,bialski,-,-,0601,2021,ok_finalnie,pdf,tekst (256 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/560_2022_zalacznik_Nr_1.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2021 ROK"")",828dccaca4151180163b6f2ff98ab27b084a69b48d7fec21ee6407b5acc00cb6,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2021 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; zał. nr 1 do uchwały ZP nr 560/2022; 256 str.,4.098,true
5445,lubelskie,bialski,-,-,0601,2022,ok_finalnie,pdf,tekst (271 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/745-2023-zalacznik-nr-1.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2022 ROK"")",c2051e79bd8ffc2c44cab4dc175908beb4ed02a3bf2aa92e8c003c7519413af9,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2022 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; zał. nr 1 do uchwały ZP nr 745/2023; 271 str.,3.772,true
5446,lubelskie,bialski,-,-,0601,2023,ok_finalnie,pdf,tekst (272 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/13_2024_zalacznik1.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2023 ROK"")",17620bc57ba04b45e919d23403b0913781956f70e34b2f1412081d922c0dd9e4,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2023 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; zał. nr 1 do uchwały ZP nr 13/2024 z 28.05.2024; 272 str.,4.231,true
5447,lubelskie,bialski,-,-,0601,2024,ok_finalnie,pdf,tekst (305 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/175_2025.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2024 ROK"")",f78c72849264c0d00ab209d34922c79c6d591c09100ef0dcb6e5c90d6e34369c,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2024 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; uchwała ZP nr 175/2025 z 29.05.2025 + zał. nr 1 (raport w jednym PDF — jedyny załącznik wpisu); 305 str.,3.987,true
5448,lubelskie,bialski,-,-,0601,2025,ok_finalnie,pdf,tekst (283 stron),https://spbialapodlaska.bip.lubelskie.pl/upload/pliki/334_2026_zalacznik_nr_1.pdf,"direct_without_tor (BIP spbialapodlaska.bip.lubelskie.pl: list-ajax → uchwały Zarządu → details → załącznik; raport potwierdzony tytułem „RAPORT O STANIE POWIATU BIALSKIEGO ZA 2025 ROK"")",f2abff45f77734eae5c1564bfc1842b85d91f5d23ffcbbb7354b72c747e1195e,200,2026-09-14T09:45:09Z,Raport o stanie Powiatu Bialskiego za 2025 rok; Starostwo Powiatowe w Białej Podlaskiej (TERYT 0601); art. 30a u.s.p.; zał. nr 1 do uchwały ZP nr 334/2026; 283 str.,5.45,true
