row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
7337,lubuskie,-,-,-,08,2018,nowy,,,,,,,,,,
7338,lubuskie,-,-,-,08,2019,nowy,,,,,,,,,,
7339,lubuskie,-,-,-,08,2020,nowy,,,,,,,,,,
7340,lubuskie,-,-,-,08,2021,nowy,,,,,,,,,,
7341,lubuskie,-,-,-,08,2022,nowy,,,,,,,,,,
7342,lubuskie,-,-,-,08,2023,nowy,,,,,,,,,,
7343,lubuskie,-,-,-,08,2024,nowy,,,,,,,,,,
7344,lubuskie,-,-,-,08,2025,nowy,,,,,,,,,,
7345,lubuskie,gorzowski,-,-,0801,2018,nowy,,,,,,,,,,
7346,lubuskie,gorzowski,-,-,0801,2019,nowy,,,,,,,,,,
7347,lubuskie,gorzowski,-,-,0801,2020,nowy,,,,,,,,,,
7348,lubuskie,gorzowski,-,-,0801,2021,nowy,,,,,,,,,,
7349,lubuskie,gorzowski,-,-,0801,2022,nowy,,,,,,,,,,
7350,lubuskie,gorzowski,-,-,0801,2023,nowy,,,,,,,,,,
7351,lubuskie,gorzowski,-,-,0801,2024,nowy,,,,,,,,,,
7352,lubuskie,gorzowski,-,-,0801,2025,nowy,,,,,,,,,,
7353,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2018,nowy,,,,,,,,,,
7354,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2019,nowy,,,,,,,,,,
7355,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2020,nowy,,,,,,,,,,
7356,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2021,nowy,,,,,,,,,,
7357,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2022,nowy,,,,,,,,,,
7358,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2023,nowy,,,,,,,,,,
7359,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2024,nowy,,,,,,,,,,
7360,lubuskie,gorzowski,Kostrzyn nad Odrą,gmina miejska,0801011,2025,nowy,,,,,,,,,,
7361,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2018,nowy,,,,,,,,,,
7362,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2019,nowy,,,,,,,,,,
7363,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2020,nowy,,,,,,,,,,
7364,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2021,nowy,,,,,,,,,,
7365,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2022,nowy,,,,,,,,,,
7366,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2023,nowy,,,,,,,,,,
7367,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2024,nowy,,,,,,,,,,
7368,lubuskie,gorzowski,Bogdaniec,gmina wiejska,0801022,2025,nowy,,,,,,,,,,
7369,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2018,nowy,,,,,,,,,,
7370,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2019,nowy,,,,,,,,,,
7371,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2020,nowy,,,,,,,,,,
7372,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2021,nowy,,,,,,,,,,
7373,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2022,nowy,,,,,,,,,,
7374,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2023,nowy,,,,,,,,,,
7375,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2024,nowy,,,,,,,,,,
7376,lubuskie,gorzowski,Deszczno,gmina wiejska,0801032,2025,nowy,,,,,,,,,,
7377,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2018,nowy,,,,,,,,,,
7378,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2019,nowy,,,,,,,,,,
7379,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2020,nowy,,,,,,,,,,
7380,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2021,nowy,,,,,,,,,,
7381,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2022,nowy,,,,,,,,,,
7382,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2023,nowy,,,,,,,,,,
7383,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2024,nowy,,,,,,,,,,
7384,lubuskie,gorzowski,Kłodawa,gmina wiejska,0801042,2025,nowy,,,,,,,,,,
7385,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2018,nowy,,,,,,,,,,
7386,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2019,nowy,,,,,,,,,,
7387,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2020,nowy,,,,,,,,,,
7388,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2021,nowy,,,,,,,,,,
7389,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2022,nowy,,,,,,,,,,
7390,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2023,nowy,,,,,,,,,,
7391,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2024,nowy,,,,,,,,,,
7392,lubuskie,gorzowski,Lubiszyn,gmina wiejska,0801052,2025,nowy,,,,,,,,,,
7393,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2018,nowy,,,,,,,,,,
7394,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2019,nowy,,,,,,,,,,
7395,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2020,nowy,,,,,,,,,,
7396,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2021,nowy,,,,,,,,,,
7397,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2022,nowy,,,,,,,,,,
7398,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2023,nowy,,,,,,,,,,
7399,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2024,nowy,,,,,,,,,,
7400,lubuskie,gorzowski,Santok,gmina wiejska,0801062,2025,nowy,,,,,,,,,,
7401,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2018,nowy,,,,,,,,,,
7402,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2019,nowy,,,,,,,,,,
7403,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2020,nowy,,,,,,,,,,
7404,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2021,nowy,,,,,,,,,,
7405,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2022,nowy,,,,,,,,,,
7406,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2023,nowy,,,,,,,,,,
7407,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2024,nowy,,,,,,,,,,
7408,lubuskie,gorzowski,Witnica,gmina miejsko-wiejska,0801073,2025,nowy,,,,,,,,,,
7409,lubuskie,krośnieński,-,-,0802,2018,nowy,,,,,,,,,,
7410,lubuskie,krośnieński,-,-,0802,2019,nowy,,,,,,,,,,
7411,lubuskie,krośnieński,-,-,0802,2020,nowy,,,,,,,,,,
7412,lubuskie,krośnieński,-,-,0802,2021,nowy,,,,,,,,,,
7413,lubuskie,krośnieński,-,-,0802,2022,nowy,,,,,,,,,,
7414,lubuskie,krośnieński,-,-,0802,2023,nowy,,,,,,,,,,
7415,lubuskie,krośnieński,-,-,0802,2024,nowy,,,,,,,,,,
7416,lubuskie,krośnieński,-,-,0802,2025,nowy,,,,,,,,,,
7417,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2018,nowy,,,,,,,,,,
7418,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2019,nowy,,,,,,,,,,
7419,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2020,nowy,,,,,,,,,,
7420,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2021,nowy,,,,,,,,,,
7421,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2022,nowy,,,,,,,,,,
7422,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2023,nowy,,,,,,,,,,
7423,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2024,nowy,,,,,,,,,,
7424,lubuskie,krośnieński,Gubin,gmina miejska,0802011,2025,nowy,,,,,,,,,,
7425,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2018,nowy,,,,,,,,,,
7426,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2019,nowy,,,,,,,,,,
7427,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2020,nowy,,,,,,,,,,
7428,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2021,nowy,,,,,,,,,,
7429,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2022,nowy,,,,,,,,,,
7430,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2023,nowy,,,,,,,,,,
7431,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2024,nowy,,,,,,,,,,
7432,lubuskie,krośnieński,Bobrowice,gmina wiejska,0802022,2025,nowy,,,,,,,,,,
7433,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2018,nowy,,,,,,,,,,
7434,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2019,nowy,,,,,,,,,,
7435,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2020,nowy,,,,,,,,,,
7436,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2021,nowy,,,,,,,,,,
7437,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2022,nowy,,,,,,,,,,
7438,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2023,nowy,,,,,,,,,,
7439,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2024,nowy,,,,,,,,,,
7440,lubuskie,krośnieński,Bytnica,gmina wiejska,0802032,2025,nowy,,,,,,,,,,
7441,lubuskie,krośnieński,Dąbie,gmina wiejska,0802042,2018,nowy,,,,,,,,,,
