row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
9729,małopolskie,-,-,-,12,2018,nowy,,,,,,,,,,
9730,małopolskie,-,-,-,12,2019,nowy,,,,,,,,,,
9731,małopolskie,-,-,-,12,2020,nowy,,,,,,,,,,
9732,małopolskie,-,-,-,12,2021,nowy,,,,,,,,,,
9733,małopolskie,-,-,-,12,2022,nowy,,,,,,,,,,
9734,małopolskie,-,-,-,12,2023,nowy,,,,,,,,,,
9735,małopolskie,-,-,-,12,2024,nowy,,,,,,,,,,
9736,małopolskie,-,-,-,12,2025,nowy,,,,,,,,,,
9737,małopolskie,bocheński,-,-,1201,2018,nowy,,,,,,,,,,
9738,małopolskie,bocheński,-,-,1201,2019,nowy,,,,,,,,,,
9739,małopolskie,bocheński,-,-,1201,2020,nowy,,,,,,,,,,
9740,małopolskie,bocheński,-,-,1201,2021,nowy,,,,,,,,,,
9741,małopolskie,bocheński,-,-,1201,2022,nowy,,,,,,,,,,
9742,małopolskie,bocheński,-,-,1201,2023,nowy,,,,,,,,,,
9743,małopolskie,bocheński,-,-,1201,2024,nowy,,,,,,,,,,
9744,małopolskie,bocheński,-,-,1201,2025,nowy,,,,,,,,,,
9745,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2018,nowy,,,,,,,,,,
9746,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2019,nowy,,,,,,,,,,
9747,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2020,nowy,,,,,,,,,,
9748,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2021,nowy,,,,,,,,,,
9749,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2022,nowy,,,,,,,,,,
9750,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2023,nowy,,,,,,,,,,
9751,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2024,nowy,,,,,,,,,,
9752,małopolskie,bocheński,Bochnia,gmina miejska,1201011,2025,nowy,,,,,,,,,,
9753,małopolskie,bocheński,Bochnia,gmina wiejska,1201022,2018,nowy,,,,,,,,,,
9754,małopolskie,bocheński,Bochnia,gmina wiejska,1201022,2019,nowy,,,,,,,,,,
9755,małopolskie,bocheński,Bochnia,gmina wiejska,1201022,2020,nowy,,,,,,,,,,
9756,małopolskie,bocheński,Bochnia,gmina wiejska,1201022,2021,nowy,,,,,,,,,,
