row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
13258,opolskie,-,-,-,16,2018,nowy,,,,,,,,,,
13259,opolskie,-,-,-,16,2019,nowy,,,,,,,,,,
13260,opolskie,-,-,-,16,2020,nowy,,,,,,,,,,
13261,opolskie,-,-,-,16,2021,nowy,,,,,,,,,,
13262,opolskie,-,-,-,16,2022,nowy,,,,,,,,,,
13263,opolskie,-,-,-,16,2023,nowy,,,,,,,,,,
13264,opolskie,-,-,-,16,2024,nowy,,,,,,,,,,
13265,opolskie,-,-,-,16,2025,nowy,,,,,,,,,,
13266,opolskie,brzeski,-,-,1601,2018,nowy,,,,,,,,,,
13267,opolskie,brzeski,-,-,1601,2019,nowy,,,,,,,,,,
13268,opolskie,brzeski,-,-,1601,2020,nowy,,,,,,,,,,
13269,opolskie,brzeski,-,-,1601,2021,nowy,,,,,,,,,,
13270,opolskie,brzeski,-,-,1601,2022,nowy,,,,,,,,,,
13271,opolskie,brzeski,-,-,1601,2023,nowy,,,,,,,,,,
13272,opolskie,brzeski,-,-,1601,2024,nowy,,,,,,,,,,
13273,opolskie,brzeski,-,-,1601,2025,nowy,,,,,,,,,,
13274,opolskie,brzeski,Brzeg,gmina miejska,1601011,2018,nowy,,,,,,,,,,
13275,opolskie,brzeski,Brzeg,gmina miejska,1601011,2019,nowy,,,,,,,,,,
13276,opolskie,brzeski,Brzeg,gmina miejska,1601011,2020,nowy,,,,,,,,,,
13277,opolskie,brzeski,Brzeg,gmina miejska,1601011,2021,nowy,,,,,,,,,,
13278,opolskie,brzeski,Brzeg,gmina miejska,1601011,2022,nowy,,,,,,,,,,
13279,opolskie,brzeski,Brzeg,gmina miejska,1601011,2023,nowy,,,,,,,,,,
13280,opolskie,brzeski,Brzeg,gmina miejska,1601011,2024,nowy,,,,,,,,,,
13281,opolskie,brzeski,Brzeg,gmina miejska,1601011,2025,nowy,,,,,,,,,,
13282,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2018,nowy,,,,,,,,,,
13283,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2019,nowy,,,,,,,,,,
13284,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2020,nowy,,,,,,,,,,
13285,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2021,nowy,,,,,,,,,,
13286,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2022,nowy,,,,,,,,,,
13287,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2023,nowy,,,,,,,,,,
13288,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2024,nowy,,,,,,,,,,
13289,opolskie,brzeski,Skarbimierz,gmina wiejska,1601022,2025,nowy,,,,,,,,,,
13290,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2018,nowy,,,,,,,,,,
13291,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2019,nowy,,,,,,,,,,
13292,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2020,nowy,,,,,,,,,,
13293,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2021,nowy,,,,,,,,,,
13294,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2022,nowy,,,,,,,,,,
13295,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2023,nowy,,,,,,,,,,
13296,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2024,nowy,,,,,,,,,,
13297,opolskie,brzeski,Grodków,gmina miejsko-wiejska,1601033,2025,nowy,,,,,,,,,,
13298,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2018,nowy,,,,,,,,,,
13299,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2019,nowy,,,,,,,,,,
13300,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2020,nowy,,,,,,,,,,
13301,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2021,nowy,,,,,,,,,,
13302,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2022,nowy,,,,,,,,,,
13303,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2023,nowy,,,,,,,,,,
13304,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2024,nowy,,,,,,,,,,
13305,opolskie,brzeski,Lewin Brzeski,gmina miejsko-wiejska,1601043,2025,nowy,,,,,,,,,,
13306,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2018,nowy,,,,,,,,,,
13307,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2019,nowy,,,,,,,,,,
13308,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2020,nowy,,,,,,,,,,
13309,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2021,nowy,,,,,,,,,,
13310,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2022,nowy,,,,,,,,,,
13311,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2023,nowy,,,,,,,,,,
13312,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2024,nowy,,,,,,,,,,
13313,opolskie,brzeski,Lubsza,gmina wiejska,1601052,2025,nowy,,,,,,,,,,
13314,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2018,nowy,,,,,,,,,,
13315,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2019,nowy,,,,,,,,,,
13316,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2020,nowy,,,,,,,,,,
13317,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2021,nowy,,,,,,,,,,
13318,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2022,nowy,,,,,,,,,,
13319,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2023,nowy,,,,,,,,,,
13320,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2024,nowy,,,,,,,,,,
13321,opolskie,brzeski,Olszanka,gmina wiejska,1601062,2025,nowy,,,,,,,,,,
13322,opolskie,głubczycki,-,-,1602,2018,nowy,,,,,,,,,,
