row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
13930,podkarpackie,-,-,-,18,2018,nowy,,,,,,,,,,
13931,podkarpackie,-,-,-,18,2019,nowy,,,,,,,,,,
13932,podkarpackie,-,-,-,18,2020,nowy,,,,,,,,,,
13933,podkarpackie,-,-,-,18,2021,nowy,,,,,,,,,,
13934,podkarpackie,-,-,-,18,2022,nowy,,,,,,,,,,
13935,podkarpackie,-,-,-,18,2023,nowy,,,,,,,,,,
13936,podkarpackie,-,-,-,18,2024,nowy,,,,,,,,,,
13937,podkarpackie,-,-,-,18,2025,nowy,,,,,,,,,,
13938,podkarpackie,bieszczadzki,-,-,1801,2018,nowy,,,,,,,,,,
13939,podkarpackie,bieszczadzki,-,-,1801,2019,nowy,,,,,,,,,,
13940,podkarpackie,bieszczadzki,-,-,1801,2020,nowy,,,,,,,,,,
13941,podkarpackie,bieszczadzki,-,-,1801,2021,nowy,,,,,,,,,,
13942,podkarpackie,bieszczadzki,-,-,1801,2022,nowy,,,,,,,,,,
13943,podkarpackie,bieszczadzki,-,-,1801,2023,nowy,,,,,,,,,,
13944,podkarpackie,bieszczadzki,-,-,1801,2024,nowy,,,,,,,,,,
13945,podkarpackie,bieszczadzki,-,-,1801,2025,nowy,,,,,,,,,,
13946,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2018,nowy,,,,,,,,,,
13947,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2019,nowy,,,,,,,,,,
13948,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2020,nowy,,,,,,,,,,
13949,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2021,nowy,,,,,,,,,,
13950,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2022,nowy,,,,,,,,,,
13951,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2023,nowy,,,,,,,,,,
13952,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2024,nowy,,,,,,,,,,
13953,podkarpackie,bieszczadzki,Czarna,gmina wiejska,1801032,2025,nowy,,,,,,,,,,
13954,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2018,nowy,,,,,,,,,,
13955,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2019,nowy,,,,,,,,,,
13956,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2020,nowy,,,,,,,,,,
13957,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2021,nowy,,,,,,,,,,
13958,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2022,nowy,,,,,,,,,,
13959,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2023,nowy,,,,,,,,,,
13960,podkarpackie,bieszczadzki,Lutowiska,gmina wiejska,1801052,2024,nowy,,,,,,,,,,
