row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
841,podlaskie,augustowski,Augustów,gmina miejska,2001011,2018,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/14533/RAPORT+O+STANIE+MIASTA+AUGUST%25C3%2593W+ZA+2018+ROK.pdf,direct_without_tor,52563e4f5bb654e3142e9015f3914b81587f32e5a75d95c96a4f54e8e2dd59aa,200,2026-09-04T21:56:34Z,,4.631,true
842,podlaskie,augustowski,Augustów,gmina miejska,2001011,2019,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/17707/RAPORT+O+STANIE+MIASTA+AUGUST%25C3%2593W+ZA+2019+ROK.pdf,direct_without_tor,e4a0beba225616022a53720a6bc1c9fb76c71922a1249beb97ac451505bc837c,200,2026-09-04T21:56:38Z,,5.579,true
843,podlaskie,augustowski,Augustów,gmina miejska,2001011,2020,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/21209/Raport+o+stanie+Gminy+Miasta+August%25C3%25B3w+za+2020+rok.pdf,direct_without_tor,4be81c4d06bc317443464b955e17bdefbedf0e65df630015c84b74a5f8a2d28f,200,2026-09-04T21:56:43Z,,12.054,true
844,podlaskie,augustowski,Augustów,gmina miejska,2001011,2021,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/23423/Raport+o+stanie+Gminy+Miasto+August%25C3%25B3w+za+rok+2021.pdf,direct_without_tor,db18a0b948f6bd8e5cd5c85856fc45c6e84a3104162381b97f3e9bcd4a87b7bf,200,2026-09-04T21:58:05Z,,6.17,true
845,podlaskie,augustowski,Augustów,gmina miejska,2001011,2022,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/24822/Raport+o+stanie+Gminy+Miasto+August%25C3%25B3w+za+2022+rok.pdf,direct_without_tor,107ee1cb6cc66d776a047bc73f35543bd7c19c9a0edad50d40d68cf935ec69ef,200,2026-09-04T21:59:40Z,,9.546,true
846,podlaskie,augustowski,Augustów,gmina miejska,2001011,2023,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/26264/Raport+o+stanie+Gminy+Miasto+August%25C3%25B3w+za+rok+2023.pdf,direct_without_tor,aef862b4afc73871d27ebf09fb650e9df24799dc28c4c195fa0b00af1647f526,200,2026-09-04T21:59:45Z,,8.495,true
847,podlaskie,augustowski,Augustów,gmina miejska,2001011,2024,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/27600/Raport+o+stanie+Gminy+Miasto+August%25C3%25B3w+za+rok+2024.pdf,direct_without_tor,f7399f89204a77668067339950b6e8b3c8ca17392a5656ba19174714f82dc97b,200,2026-09-04T21:59:49Z,,9.325,true
848,podlaskie,augustowski,Augustów,gmina miejska,2001011,2025,ok_finalnie,pdf,tekst,https://bip.um.augustow.pl/resource/29277/Raport+o+stanie+Gminy+Miasto+August%25C3%25B3w+za+rok+2025.pdf,direct_without_tor,e9d5b732b28615418e277297818f358d775292d6a081b2612f530d8922535c40,200,2026-09-04T22:59:15Z,,6.456,true
849,podlaskie,augustowski,Augustów,gmina wiejska,2001022,2018,brak_finalnie,,,https://web.archive.org/web/20190820095101id_/http://bip.ug.augustow.wrotapodlasia.pl/rada_gminy/Uchwaly_Rady_Gminy/urg_viii_kadencja/nr_6_2019/vi-77-2019.html,web search bez Tora + rozróżnienie miasta i gminy wiejskiej po TERYT/powiecie/organie + Wayback + odtworzenie oficjalnej karty uchwały w BIP Gminy Augustów,,sprawdzono w innych źródłach 2026-09-05,2026-09-03T16:44:41Z,"[KONT.] || [TURA 20 05.09.2026 - INNE ZRODLA] PULAPKA TOZSAMOSCIOWA ODNOTOWANA: w wynikach wyszukiwan istnieja pelne pliki 'RAPORT O STANIE MIASTA AUGUSTOW ZA 2018/2019 ROK' (bip.um.augustow.pl/resource/14533/19754 i resource/17707/22170, urzad.augustow.pl/sites/default/files/raport_o_stanie_miasta_augustow_za_2019_rok.pdf) - dotycza one GMINY MIEJSKIEJ Augustow (TERYT 2001011, wiersze 841-848, wszystkie ok w bazie), NIE gminy wiejskiej (2001022). Status bez zmian.",,true
850,podlaskie,augustowski,Augustów,gmina wiejska,2001022,2019,brak_finalnie,pdf,,https://web.archive.org/web/20230127070344if_/https://gmina-augustow.home.pl/wp/wp-content/uploads/2020/05/raport2020.pdf,"web search bez Tora + stary host gmina-augustow.home.pl/wp + follow do samorzad.gov.pl/wp + Wayback; dowód istnienia raportu, ale jedyny odzyskany artefakt PDF jest niekompletny",33929c3b24b44971cb7c78bd1d9939be760cccc95e30c66f1a8c5e6d9a90d1a6,sprawdzono w innych źródłach 2026-09-05,2026-09-02T15:13:16Z,"[KONT.] || [TURA 20 05.09.2026 - INNE ZRODLA] Jw. (wiersz 849) - raport 'MIASTA Augustow za 2019' (bip.um.augustow.pl/resource/17707/22170) = gmina miejska, nie wiejska. Status bez zmian.",1.049,true
