row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
15514,pomorskie,-,-,-,22,2018,nowy,,,,,,,,,,
15515,pomorskie,-,-,-,22,2019,nowy,,,,,,,,,,
15516,pomorskie,-,-,-,22,2020,nowy,,,,,,,,,,
15517,pomorskie,-,-,-,22,2021,nowy,,,,,,,,,,
15518,pomorskie,-,-,-,22,2022,nowy,,,,,,,,,,
15519,pomorskie,-,-,-,22,2023,nowy,,,,,,,,,,
15520,pomorskie,-,-,-,22,2024,nowy,,,,,,,,,,
15521,pomorskie,-,-,-,22,2025,nowy,,,,,,,,,,
15522,pomorskie,bytowski,-,-,2201,2018,nowy,,,,,,,,,,
15523,pomorskie,bytowski,-,-,2201,2019,nowy,,,,,,,,,,
15524,pomorskie,bytowski,-,-,2201,2020,nowy,,,,,,,,,,
15525,pomorskie,bytowski,-,-,2201,2021,nowy,,,,,,,,,,
15526,pomorskie,bytowski,-,-,2201,2022,nowy,,,,,,,,,,
15527,pomorskie,bytowski,-,-,2201,2023,nowy,,,,,,,,,,
15528,pomorskie,bytowski,-,-,2201,2024,nowy,,,,,,,,,,
15529,pomorskie,bytowski,-,-,2201,2025,nowy,,,,,,,,,,
15530,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2018,nowy,,,,,,,,,,
15531,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2019,nowy,,,,,,,,,,
15532,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2020,nowy,,,,,,,,,,
15533,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2021,nowy,,,,,,,,,,
15534,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2022,nowy,,,,,,,,,,
15535,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2023,nowy,,,,,,,,,,
15536,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2024,nowy,,,,,,,,,,
15537,pomorskie,bytowski,Borzytuchom,gmina wiejska,2201012,2025,nowy,,,,,,,,,,
15538,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2018,nowy,,,,,,,,,,
15539,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2019,nowy,,,,,,,,,,
15540,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2020,nowy,,,,,,,,,,
15541,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2021,nowy,,,,,,,,,,
15542,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2022,nowy,,,,,,,,,,
15543,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2023,nowy,,,,,,,,,,
15544,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2024,nowy,,,,,,,,,,
15545,pomorskie,bytowski,Bytów,gmina miejsko-wiejska,2201023,2025,nowy,,,,,,,,,,
15546,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2018,nowy,,,,,,,,,,
15547,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2019,nowy,,,,,,,,,,
15548,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2020,nowy,,,,,,,,,,
15549,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2021,nowy,,,,,,,,,,
15550,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2022,nowy,,,,,,,,,,
15551,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2023,nowy,,,,,,,,,,
15552,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2024,nowy,,,,,,,,,,
15553,pomorskie,bytowski,Czarna Dąbrówka,gmina wiejska,2201032,2025,nowy,,,,,,,,,,
15554,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2018,nowy,,,,,,,,,,
15555,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2019,nowy,,,,,,,,,,
15556,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2020,nowy,,,,,,,,,,
15557,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2021,nowy,,,,,,,,,,
15558,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2022,nowy,,,,,,,,,,
15559,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2023,nowy,,,,,,,,,,
15560,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2024,nowy,,,,,,,,,,
15561,pomorskie,bytowski,Kołczygłowy,gmina wiejska,2201042,2025,nowy,,,,,,,,,,
15562,pomorskie,bytowski,Lipnica,gmina wiejska,2201052,2018,nowy,,,,,,,,,,
15563,pomorskie,bytowski,Lipnica,gmina wiejska,2201052,2019,nowy,,,,,,,,,,
