row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
19818,wielkopolskie,-,-,-,30,2018,nowy,,,,,,,,,,
19819,wielkopolskie,-,-,-,30,2019,nowy,,,,,,,,,,
19820,wielkopolskie,-,-,-,30,2020,nowy,,,,,,,,,,
19821,wielkopolskie,-,-,-,30,2021,nowy,,,,,,,,,,
19822,wielkopolskie,-,-,-,30,2022,nowy,,,,,,,,,,
19823,wielkopolskie,-,-,-,30,2023,nowy,,,,,,,,,,
19824,wielkopolskie,-,-,-,30,2024,nowy,,,,,,,,,,
19825,wielkopolskie,-,-,-,30,2025,nowy,,,,,,,,,,
19826,wielkopolskie,chodzieski,-,-,3001,2018,nowy,,,,,,,,,,
19827,wielkopolskie,chodzieski,-,-,3001,2019,nowy,,,,,,,,,,
19828,wielkopolskie,chodzieski,-,-,3001,2020,nowy,,,,,,,,,,
19829,wielkopolskie,chodzieski,-,-,3001,2021,nowy,,,,,,,,,,
19830,wielkopolskie,chodzieski,-,-,3001,2022,nowy,,,,,,,,,,
19831,wielkopolskie,chodzieski,-,-,3001,2023,nowy,,,,,,,,,,
19832,wielkopolskie,chodzieski,-,-,3001,2024,nowy,,,,,,,,,,
19833,wielkopolskie,chodzieski,-,-,3001,2025,nowy,,,,,,,,,,
19834,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2018,nowy,,,,,,,,,,
19835,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2019,nowy,,,,,,,,,,
19836,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2020,nowy,,,,,,,,,,
19837,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2021,nowy,,,,,,,,,,
19838,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2022,nowy,,,,,,,,,,
19839,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2023,nowy,,,,,,,,,,
19840,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2024,nowy,,,,,,,,,,
19841,wielkopolskie,chodzieski,Chodzież,gmina miejska,3001011,2025,nowy,,,,,,,,,,
19842,wielkopolskie,chodzieski,Budzyń,gmina wiejska,3001022,2018,nowy,,,,,,,,,,
19843,wielkopolskie,chodzieski,Budzyń,gmina wiejska,3001022,2019,nowy,,,,,,,,,,
19844,wielkopolskie,chodzieski,Budzyń,gmina wiejska,3001022,2020,nowy,,,,,,,,,,
19845,wielkopolskie,chodzieski,Budzyń,gmina miejsko-wiejska,3001023,2021,nowy,,,,,,,,,,
19846,wielkopolskie,chodzieski,Budzyń,gmina miejsko-wiejska,3001023,2022,nowy,,,,,,,,,,
19847,wielkopolskie,chodzieski,Budzyń,gmina miejsko-wiejska,3001023,2023,nowy,,,,,,,,,,
19848,wielkopolskie,chodzieski,Budzyń,gmina miejsko-wiejska,3001023,2024,nowy,,,,,,,,,,
19849,wielkopolskie,chodzieski,Budzyń,gmina miejsko-wiejska,3001023,2025,nowy,,,,,,,,,,
19850,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2018,nowy,,,,,,,,,,
19851,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2019,nowy,,,,,,,,,,
19852,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2020,nowy,,,,,,,,,,
19853,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2021,nowy,,,,,,,,,,
19854,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2022,nowy,,,,,,,,,,
19855,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2023,nowy,,,,,,,,,,
19856,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2024,nowy,,,,,,,,,,
19857,wielkopolskie,chodzieski,Chodzież,gmina wiejska,3001032,2025,nowy,,,,,,,,,,
19858,wielkopolskie,chodzieski,Margonin,gmina miejsko-wiejska,3001043,2018,nowy,,,,,,,,,,
19859,wielkopolskie,chodzieski,Margonin,gmina miejsko-wiejska,3001043,2019,nowy,,,,,,,,,,
19860,wielkopolskie,chodzieski,Margonin,gmina miejsko-wiejska,3001043,2020,nowy,,,,,,,,,,
19861,wielkopolskie,chodzieski,Margonin,gmina miejsko-wiejska,3001043,2021,nowy,,,,,,,,,,
19862,wielkopolskie,chodzieski,Margonin,gmina miejsko-wiejska,3001043,2022,nowy,,,,,,,,,,
19863,wielkopolskie,chodzieski,Margonin,gmina miejsko-wiejska,3001043,2023,nowy,,,,,,,,,,
