row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
21914,zachodniopomorskie,-,-,-,32,2018,nowy,,,,,,,,,,
21915,zachodniopomorskie,-,-,-,32,2019,nowy,,,,,,,,,,
21916,zachodniopomorskie,-,-,-,32,2020,nowy,,,,,,,,,,
21917,zachodniopomorskie,-,-,-,32,2021,nowy,,,,,,,,,,
21918,zachodniopomorskie,-,-,-,32,2022,nowy,,,,,,,,,,
21919,zachodniopomorskie,-,-,-,32,2023,nowy,,,,,,,,,,
21920,zachodniopomorskie,-,-,-,32,2024,nowy,,,,,,,,,,
21921,zachodniopomorskie,-,-,-,32,2025,nowy,,,,,,,,,,
21922,zachodniopomorskie,białogardzki,-,-,3201,2018,nowy,,,,,,,,,,
21923,zachodniopomorskie,białogardzki,-,-,3201,2019,nowy,,,,,,,,,,
21924,zachodniopomorskie,białogardzki,-,-,3201,2020,nowy,,,,,,,,,,
21925,zachodniopomorskie,białogardzki,-,-,3201,2021,nowy,,,,,,,,,,
21926,zachodniopomorskie,białogardzki,-,-,3201,2022,nowy,,,,,,,,,,
21927,zachodniopomorskie,białogardzki,-,-,3201,2023,nowy,,,,,,,,,,
21928,zachodniopomorskie,białogardzki,-,-,3201,2024,nowy,,,,,,,,,,
21929,zachodniopomorskie,białogardzki,-,-,3201,2025,nowy,,,,,,,,,,
21930,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2018,nowy,,,,,,,,,,
21931,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2019,nowy,,,,,,,,,,
21932,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2020,nowy,,,,,,,,,,
21933,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2021,nowy,,,,,,,,,,
21934,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2022,nowy,,,,,,,,,,
21935,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2023,nowy,,,,,,,,,,
21936,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2024,nowy,,,,,,,,,,
21937,zachodniopomorskie,białogardzki,Białogard,gmina miejska,3201011,2025,nowy,,,,,,,,,,
21938,zachodniopomorskie,białogardzki,Białogard,gmina wiejska,3201022,2018,nowy,,,,,,,,,,
21939,zachodniopomorskie,białogardzki,Białogard,gmina wiejska,3201022,2019,nowy,,,,,,,,,,
21940,zachodniopomorskie,białogardzki,Białogard,gmina wiejska,3201022,2020,nowy,,,,,,,,,,
