row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
8113,łódzkie,-,-,-,10,2018,nowy,,,,,,,,,,
8114,łódzkie,-,-,-,10,2019,nowy,,,,,,,,,,
8115,łódzkie,-,-,-,10,2020,nowy,,,,,,,,,,
8116,łódzkie,-,-,-,10,2021,nowy,,,,,,,,,,
8117,łódzkie,-,-,-,10,2022,nowy,,,,,,,,,,
8118,łódzkie,-,-,-,10,2023,nowy,,,,,,,,,,
8119,łódzkie,-,-,-,10,2024,nowy,,,,,,,,,,
8120,łódzkie,-,-,-,10,2025,nowy,,,,,,,,,,
8121,łódzkie,bełchatowski,-,-,1001,2018,nowy,,,,,,,,,,
8122,łódzkie,bełchatowski,-,-,1001,2019,nowy,,,,,,,,,,
8123,łódzkie,bełchatowski,-,-,1001,2020,nowy,,,,,,,,,,
8124,łódzkie,bełchatowski,-,-,1001,2021,nowy,,,,,,,,,,
8125,łódzkie,bełchatowski,-,-,1001,2022,nowy,,,,,,,,,,
8126,łódzkie,bełchatowski,-,-,1001,2023,nowy,,,,,,,,,,
8127,łódzkie,bełchatowski,-,-,1001,2024,nowy,,,,,,,,,,
8128,łódzkie,bełchatowski,-,-,1001,2025,nowy,,,,,,,,,,
8129,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2018,nowy,,,,,,,,,,
8130,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2019,nowy,,,,,,,,,,
8131,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2020,nowy,,,,,,,,,,
8132,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2021,nowy,,,,,,,,,,
8133,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2022,nowy,,,,,,,,,,
8134,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2023,nowy,,,,,,,,,,
8135,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2024,nowy,,,,,,,,,,
8136,łódzkie,bełchatowski,Bełchatów,gmina miejska,1001011,2025,nowy,,,,,,,,,,
8137,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2018,nowy,,,,,,,,,,
8138,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2019,nowy,,,,,,,,,,
8139,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2020,nowy,,,,,,,,,,
8140,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2021,nowy,,,,,,,,,,
8141,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2022,nowy,,,,,,,,,,
8142,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2023,nowy,,,,,,,,,,
8143,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2024,nowy,,,,,,,,,,
8144,łódzkie,bełchatowski,Bełchatów,gmina wiejska,1001022,2025,nowy,,,,,,,,,,
8145,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2018,nowy,,,,,,,,,,
8146,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2019,nowy,,,,,,,,,,
8147,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2020,nowy,,,,,,,,,,
8148,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2021,nowy,,,,,,,,,,
8149,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2022,nowy,,,,,,,,,,
8150,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2023,nowy,,,,,,,,,,
8151,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2024,nowy,,,,,,,,,,
8152,łódzkie,bełchatowski,Drużbice,gmina wiejska,1001032,2025,nowy,,,,,,,,,,
8153,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2018,nowy,,,,,,,,,,
8154,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2019,nowy,,,,,,,,,,
8155,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2020,nowy,,,,,,,,,,
8156,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2021,nowy,,,,,,,,,,
8157,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2022,nowy,,,,,,,,,,
8158,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2023,nowy,,,,,,,,,,
8159,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2024,nowy,,,,,,,,,,
8160,łódzkie,bełchatowski,Kleszczów,gmina wiejska,1001042,2025,nowy,,,,,,,,,,
8161,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2018,nowy,,,,,,,,,,
8162,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2019,nowy,,,,,,,,,,
8163,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2020,nowy,,,,,,,,,,
8164,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2021,nowy,,,,,,,,,,
8165,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2022,nowy,,,,,,,,,,
8166,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2023,nowy,,,,,,,,,,
8167,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2024,nowy,,,,,,,,,,
8168,łódzkie,bełchatowski,Kluki,gmina wiejska,1001052,2025,nowy,,,,,,,,,,
8169,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2018,nowy,,,,,,,,,,
8170,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2019,nowy,,,,,,,,,,
8171,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2020,nowy,,,,,,,,,,
8172,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2021,nowy,,,,,,,,,,
8173,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2022,nowy,,,,,,,,,,
8174,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2023,nowy,,,,,,,,,,
8175,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2024,nowy,,,,,,,,,,
8176,łódzkie,bełchatowski,Rusiec,gmina wiejska,1001062,2025,nowy,,,,,,,,,,
8177,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2018,nowy,,,,,,,,,,
8178,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2019,nowy,,,,,,,,,,
8179,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2020,nowy,,,,,,,,,,
8180,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2021,nowy,,,,,,,,,,
8181,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2022,nowy,,,,,,,,,,
8182,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2023,nowy,,,,,,,,,,
8183,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2024,nowy,,,,,,,,,,
8184,łódzkie,bełchatowski,Szczerców,gmina wiejska,1001072,2025,nowy,,,,,,,,,,
8185,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2018,nowy,,,,,,,,,,
8186,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2019,nowy,,,,,,,,,,
8187,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2020,nowy,,,,,,,,,,
8188,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2021,nowy,,,,,,,,,,
8189,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2022,nowy,,,,,,,,,,
8190,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2023,nowy,,,,,,,,,,
8191,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2024,nowy,,,,,,,,,,
8192,łódzkie,bełchatowski,Zelów,gmina miejsko-wiejska,1001083,2025,nowy,,,,,,,,,,
8193,łódzkie,kutnowski,-,-,1002,2018,nowy,,,,,,,,,,
8194,łódzkie,kutnowski,-,-,1002,2019,nowy,,,,,,,,,,
8195,łódzkie,kutnowski,-,-,1002,2020,nowy,,,,,,,,,,
8196,łódzkie,kutnowski,-,-,1002,2021,nowy,,,,,,,,,,
8197,łódzkie,kutnowski,-,-,1002,2022,nowy,,,,,,,,,,
8198,łódzkie,kutnowski,-,-,1002,2023,nowy,,,,,,,,,,
8199,łódzkie,kutnowski,-,-,1002,2024,nowy,,,,,,,,,,
8200,łódzkie,kutnowski,-,-,1002,2025,nowy,,,,,,,,,,
8201,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2018,nowy,,,,,,,,,,
8202,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2019,nowy,,,,,,,,,,
8203,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2020,nowy,,,,,,,,,,
8204,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2021,nowy,,,,,,,,,,
8205,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2022,nowy,,,,,,,,,,
8206,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2023,nowy,,,,,,,,,,
8207,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2024,nowy,,,,,,,,,,
8208,łódzkie,kutnowski,Kutno,gmina miejska,1002011,2025,nowy,,,,,,,,,,
8209,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2018,nowy,,,,,,,,,,
8210,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2019,nowy,,,,,,,,,,
8211,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2020,nowy,,,,,,,,,,
8212,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2021,nowy,,,,,,,,,,
8213,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2022,nowy,,,,,,,,,,
8214,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2023,nowy,,,,,,,,,,
8215,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2024,nowy,,,,,,,,,,
8216,łódzkie,kutnowski,Bedlno,gmina wiejska,1002022,2025,nowy,,,,,,,,,,
8217,łódzkie,kutnowski,Dąbrowice,gmina wiejska,1002032,2018,nowy,,,,,,,,,,
8218,łódzkie,kutnowski,Dąbrowice,gmina wiejska,1002032,2019,nowy,,,,,,,,,,
8219,łódzkie,kutnowski,Dąbrowice,gmina wiejska,1002032,2020,nowy,,,,,,,,,,
8220,łódzkie,kutnowski,Dąbrowice,gmina wiejska,1002032,2021,nowy,,,,,,,,,,
8221,łódzkie,kutnowski,Dąbrowice,gmina wiejska,1002032,2022,nowy,,,,,,,,,,
8222,łódzkie,kutnowski,Dąbrowice,gmina miejsko-wiejska,1002033,2023,nowy,,,,,,,,,,
8223,łódzkie,kutnowski,Dąbrowice,gmina miejsko-wiejska,1002033,2024,nowy,,,,,,,,,,
8224,łódzkie,kutnowski,Dąbrowice,gmina miejsko-wiejska,1002033,2025,nowy,,,,,,,,,,
8225,łódzkie,kutnowski,Krośniewice,gmina miejsko-wiejska,1002043,2018,nowy,,,,,,,,,,
8226,łódzkie,kutnowski,Krośniewice,gmina miejsko-wiejska,1002043,2019,nowy,,,,,,,,,,
8227,łódzkie,kutnowski,Krośniewice,gmina miejsko-wiejska,1002043,2020,nowy,,,,,,,,,,
8228,łódzkie,kutnowski,Krośniewice,gmina miejsko-wiejska,1002043,2021,nowy,,,,,,,,,,
