row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
16666,śląskie,-,-,-,24,2018,nowy,,,,,,,,,,
16667,śląskie,-,-,-,24,2019,nowy,,,,,,,,,,
16668,śląskie,-,-,-,24,2020,nowy,,,,,,,,,,
16669,śląskie,-,-,-,24,2021,nowy,,,,,,,,,,
16670,śląskie,-,-,-,24,2022,nowy,,,,,,,,,,
16671,śląskie,-,-,-,24,2023,nowy,,,,,,,,,,
16672,śląskie,-,-,-,24,2024,nowy,,,,,,,,,,
16673,śląskie,-,-,-,24,2025,nowy,,,,,,,,,,
16674,śląskie,będziński,-,-,2401,2018,nowy,,,,,,,,,,
16675,śląskie,będziński,-,-,2401,2019,nowy,,,,,,,,,,
16676,śląskie,będziński,-,-,2401,2020,nowy,,,,,,,,,,
16677,śląskie,będziński,-,-,2401,2021,nowy,,,,,,,,,,
16678,śląskie,będziński,-,-,2401,2022,nowy,,,,,,,,,,
16679,śląskie,będziński,-,-,2401,2023,nowy,,,,,,,,,,
16680,śląskie,będziński,-,-,2401,2024,nowy,,,,,,,,,,
16681,śląskie,będziński,-,-,2401,2025,nowy,,,,,,,,,,
16682,śląskie,będziński,Będzin,gmina miejska,2401011,2018,nowy,,,,,,,,,,
16683,śląskie,będziński,Będzin,gmina miejska,2401011,2019,nowy,,,,,,,,,,
16684,śląskie,będziński,Będzin,gmina miejska,2401011,2020,nowy,,,,,,,,,,
16685,śląskie,będziński,Będzin,gmina miejska,2401011,2021,nowy,,,,,,,,,,
16686,śląskie,będziński,Będzin,gmina miejska,2401011,2022,nowy,,,,,,,,,,
16687,śląskie,będziński,Będzin,gmina miejska,2401011,2023,nowy,,,,,,,,,,
16688,śląskie,będziński,Będzin,gmina miejska,2401011,2024,nowy,,,,,,,,,,
16689,śląskie,będziński,Będzin,gmina miejska,2401011,2025,nowy,,,,,,,,,,
16690,śląskie,będziński,Czeladź,gmina miejska,2401021,2018,nowy,,,,,,,,,,
16691,śląskie,będziński,Czeladź,gmina miejska,2401021,2019,nowy,,,,,,,,,,
16692,śląskie,będziński,Czeladź,gmina miejska,2401021,2020,nowy,,,,,,,,,,
