row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
18298,świętokrzyskie,-,-,-,26,2018,nowy,,,,,,,,,,
18299,świętokrzyskie,-,-,-,26,2019,nowy,,,,,,,,,,
18300,świętokrzyskie,-,-,-,26,2020,nowy,,,,,,,,,,
18301,świętokrzyskie,-,-,-,26,2021,nowy,,,,,,,,,,
18302,świętokrzyskie,-,-,-,26,2022,nowy,,,,,,,,,,
18303,świętokrzyskie,-,-,-,26,2023,nowy,,,,,,,,,,
18304,świętokrzyskie,-,-,-,26,2024,nowy,,,,,,,,,,
18305,świętokrzyskie,-,-,-,26,2025,nowy,,,,,,,,,,
18306,świętokrzyskie,buski,-,-,2601,2018,nowy,,,,,,,,,,
18307,świętokrzyskie,buski,-,-,2601,2019,nowy,,,,,,,,,,
18308,świętokrzyskie,buski,-,-,2601,2020,nowy,,,,,,,,,,
18309,świętokrzyskie,buski,-,-,2601,2021,nowy,,,,,,,,,,
18310,świętokrzyskie,buski,-,-,2601,2022,nowy,,,,,,,,,,
18311,świętokrzyskie,buski,-,-,2601,2023,nowy,,,,,,,,,,
18312,świętokrzyskie,buski,-,-,2601,2024,nowy,,,,,,,,,,
18313,świętokrzyskie,buski,-,-,2601,2025,nowy,,,,,,,,,,
18314,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2018,nowy,,,,,,,,,,
18315,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2019,nowy,,,,,,,,,,
18316,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2020,nowy,,,,,,,,,,
18317,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2021,nowy,,,,,,,,,,
18318,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2022,nowy,,,,,,,,,,
18319,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2023,nowy,,,,,,,,,,
18320,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2024,nowy,,,,,,,,,,
18321,świętokrzyskie,buski,Busko-Zdrój,gmina miejsko-wiejska,2601013,2025,nowy,,,,,,,,,,
18322,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2018,nowy,,,,,,,,,,
18323,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2019,nowy,,,,,,,,,,
18324,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2020,nowy,,,,,,,,,,
18325,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2021,nowy,,,,,,,,,,
18326,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2022,nowy,,,,,,,,,,
18327,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2023,nowy,,,,,,,,,,
18328,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2024,nowy,,,,,,,,,,
18329,świętokrzyskie,buski,Gnojno,gmina wiejska,2601022,2025,nowy,,,,,,,,,,
18330,świętokrzyskie,buski,Nowy Korczyn,gmina wiejska,2601032,2018,nowy,,,,,,,,,,
18331,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2019,nowy,,,,,,,,,,
18332,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2020,nowy,,,,,,,,,,
18333,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2021,nowy,,,,,,,,,,
18334,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2022,nowy,,,,,,,,,,
18335,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2023,nowy,,,,,,,,,,
18336,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2024,nowy,,,,,,,,,,
18337,świętokrzyskie,buski,Nowy Korczyn,gmina miejsko-wiejska,2601033,2025,nowy,,,,,,,,,,
18338,świętokrzyskie,buski,Pacanów,gmina wiejska,2601042,2018,nowy,,,,,,,,,,
18339,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2019,nowy,,,,,,,,,,
18340,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2020,nowy,,,,,,,,,,
18341,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2021,nowy,,,,,,,,,,
18342,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2022,nowy,,,,,,,,,,
18343,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2023,nowy,,,,,,,,,,
18344,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2024,nowy,,,,,,,,,,
18345,świętokrzyskie,buski,Pacanów,gmina miejsko-wiejska,2601043,2025,nowy,,,,,,,,,,
18346,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2018,nowy,,,,,,,,,,
18347,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2019,nowy,,,,,,,,,,
18348,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2020,nowy,,,,,,,,,,
18349,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2021,nowy,,,,,,,,,,
18350,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2022,nowy,,,,,,,,,,
18351,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2023,nowy,,,,,,,,,,
18352,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2024,nowy,,,,,,,,,,
18353,świętokrzyskie,buski,Solec-Zdrój,gmina wiejska,2601052,2025,nowy,,,,,,,,,,
18354,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2018,nowy,,,,,,,,,,
18355,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2019,nowy,,,,,,,,,,
18356,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2020,nowy,,,,,,,,,,
18357,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2021,nowy,,,,,,,,,,
18358,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2022,nowy,,,,,,,,,,
18359,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2023,nowy,,,,,,,,,,
18360,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2024,nowy,,,,,,,,,,
18361,świętokrzyskie,buski,Stopnica,gmina miejsko-wiejska,2601063,2025,nowy,,,,,,,,,,
18362,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2018,nowy,,,,,,,,,,
18363,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2019,nowy,,,,,,,,,,
18364,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2020,nowy,,,,,,,,,,
18365,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2021,nowy,,,,,,,,,,
18366,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2022,nowy,,,,,,,,,,
18367,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2023,nowy,,,,,,,,,,
18368,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2024,nowy,,,,,,,,,,
18369,świętokrzyskie,buski,Tuczępy,gmina wiejska,2601072,2025,nowy,,,,,,,,,,
18370,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2018,nowy,,,,,,,,,,
18371,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2019,nowy,,,,,,,,,,
18372,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2020,nowy,,,,,,,,,,
18373,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2021,nowy,,,,,,,,,,
18374,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2022,nowy,,,,,,,,,,
18375,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2023,nowy,,,,,,,,,,
18376,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2024,nowy,,,,,,,,,,
18377,świętokrzyskie,buski,Wiślica,gmina miejsko-wiejska,2601083,2025,nowy,,,,,,,,,,
18378,świętokrzyskie,jędrzejowski,-,-,2602,2018,nowy,,,,,,,,,,
18379,świętokrzyskie,jędrzejowski,-,-,2602,2019,nowy,,,,,,,,,,
18380,świętokrzyskie,jędrzejowski,-,-,2602,2020,nowy,,,,,,,,,,
18381,świętokrzyskie,jędrzejowski,-,-,2602,2021,nowy,,,,,,,,,,
18382,świętokrzyskie,jędrzejowski,-,-,2602,2022,nowy,,,,,,,,,,
18383,świętokrzyskie,jędrzejowski,-,-,2602,2023,nowy,,,,,,,,,,
18384,świętokrzyskie,jędrzejowski,-,-,2602,2024,nowy,,,,,,,,,,
18385,świętokrzyskie,jędrzejowski,-,-,2602,2025,nowy,,,,,,,,,,
18386,świętokrzyskie,jędrzejowski,Imielno,gmina wiejska,2602012,2018,nowy,,,,,,,,,,
18387,świętokrzyskie,jędrzejowski,Imielno,gmina wiejska,2602012,2019,nowy,,,,,,,,,,
18388,świętokrzyskie,jędrzejowski,Imielno,gmina wiejska,2602012,2020,nowy,,,,,,,,,,
